# Complete SFS list from Riksdagen API
# Fetched: 2025-12-11T20:09:49.063Z
# API reported: 11397, Unique dok_ids: 11397, Unique SFS: 11265
# Format: SFS\tDATE\tDOK_ID\tTITLE
#
	1867-05-08	c0s0riksb	för Riksbankens styrelse oeh förvaltning, utfärdad! den 8 Maj 1867
1981:562	1981-06-11	sfs-1981-562	Förordning (1981:562) med instruktion för mellankommunala skatterätten
1981:574	1981-06-04	sfs-1981-574	Miljöskyddsförordning (1981:574)
1981:584	1981-06-04	sfs-1981-584	Förordning (1981:584) om tillämpning av en konvention den 12 december 1979 mellan Sverige och Frankrike om social trygghet
1981:599	1981-06-11	sfs-1981-599	Fastbränslelag (1981:599)
1981:6	1981-01-08	sfs-1981-6	Lag (1981:6) om konkurs som omfattar egendom i annat nordiskt land
1981:600	1981-06-11	sfs-1981-600	Lag (1981:600) om beslutanderätt för stiftelse som har bildats för att främja svenskt-norskt industriellt samarbete
1981:605	1981-05-07	sfs-1981-605	Förordning (1981:605) med instruktion för nämnden för lokalanställda
1981:606	1981-05-27	sfs-1981-606	Förordning (1981:606) om förslags- och trivselverksamheten vid statliga myndigheter
1981:607	1981-05-27	sfs-1981-607	Förordning (1981:607) med instruktion för statsförvaltningens centrala förslagsnämnd
1981:608	1981-12-28	sfs-1981-608	Förordning (1981:608) om läkemedelskostnader, m.m.
1981:632	1981-06-11	sfs-1981-632	Lag (1981:632) om tidsbegränsning av anställning av marknadssekreterare m.fl.
1981:639	1981-12-30	sfs-1981-639	Förordning (1981:639) om utjämning av industrins kostnader för jordbruksråvaror;
1981:642	1981-06-11	sfs-1981-642	Förordning (1981:642) om tjänsteplikt för hälso- och sjukvårdspersonal m.m.
1981:648	1981-06-11	sfs-1981-648	Krigsveterinärförordning (1981:648)
1981:655	1981-06-18	sfs-1981-655	Lag (1981:655) om vissa avgifter i allmän hamn
1981:659	1981-06-11	sfs-1981-659	Förordning (1981:659) om lån till investeringar inom den manuella glasindustrin
1981:660	1981-06-11	sfs-1981-660	Förordning (1981:660) om lån till rationaliseringsinvesteringar inom konfektionsindustrin
1981:661	1981-06-11	sfs-1981-661	Förordning (1981:661) om strukturgarantier, m.m.
1981:664	1981-06-11	sfs-1981-664	Förordning (1981:664) med instruktion för nämnden för u-landsutbildning
1981:665	1981-06-18	sfs-1981-665	Förordning (1981:665) om exportkreditfinansiering med statligt stöd
1981:666	1981-06-18	sfs-1981-666	Förordning (1981:666) om statligt stöd för kredit vid försäljning inom landet i vissa fall
1981:669	1981-06-18	sfs-1981-669	Lag (1981:669) om finansiering av framtida utgifter för använt kärnbränsle m.m.
1981:671	1981-06-18	sfs-1981-671	Förordning (1981:671) om finansiering av framtida utgifter för använt kärnbränsle m.m.
1981:672	1981-06-18	sfs-1981-672	Förordning (1981:672) med instruktion för statens kärnbränslenämnd
1981:673	1981-06-11	sfs-1981-673	Förordning (1981:673) med vissa bestämmelser för statlig myndighets affärsdrivande verksamhet i utlandet
1981:675	1981-06-11	sfs-1981-675	Förordning (1981:675) med föreskrifter om behörighet till och tillsättande av vissa tjänster vid socialstyrelsens läkemedelsavdelning
1981:681	1981-06-11	sfs-1981-681	Förordning (1981:681) med instruktion för statens nämnd för internationella adoptionsfrågor
1981:683	1981-06-11	sfs-1981-683	Förordning (1981:683) med instruktion för socialstyrelsen
1981:691	1981-06-18	sfs-1981-691	Lag (1981:691) om socialavgifter
1981:7	1981-01-08	sfs-1981-7	Lag (1981:7) om verkan av konkurs som inträffat i annat nordiskt land
1981:716	1981-05-08	sfs-1981-716	Riksåklagarens beslut (1981:716) om ordningsbot för vissa brott
1981:717	1981-06-25	sfs-1981-717	Förordning (1981:717) om statlig garanti för utvinning m.m. av olja, naturgas eller kol
1981:731	1981-06-25	sfs-1981-731	Förordning (1981:731) om uppräkning av vissa statliga tjänstepensioner från och med den 1 juli 1981
1981:739	1981-07-09	sfs-1981-739	Lag (1981:739) om ersättning för inkassokostnader m.m.
1981:749	1981-06-18	sfs-1981-749	Förordning (1981:749) om överenskommelse mellan Sverige och Tyska Demokratiska Republiken angående ömsesidig skattebefrielse för luftfartsföretag
1981:750	1981-06-25	sfs-1981-750	Socialtjänstförordningen (1981:750)
1981:766	1981-06-25	sfs-1981-766	Förordning (1981:766) om dubbelbeskattningsavtal mellan Sverige samt Storbritannien och Nordirland beträffande skatter på kvarlåtenskap, arv och gåva
1981:772	1981-08-11	sfs-1981-772	Riksrevisionsverkets cirkulär (1981:772) angående allmänna leveransbestämmelser;
1981:774	1981-06-25	sfs-1981-774	Utsökningsbalk (1981:774)
1981:775	1981-06-25	sfs-1981-775	Lag (1981:775) om införande av utsökningsbalken
1981:847	1981-06-25	sfs-1981-847	Handräckningslag (1981:847)
1981:923	1981-09-24	sfs-1981-923	Förordning (1981:923) om stöd genom Fonden för svenskt-norskt industriellt samarbete
1981:955	1981-10-01	sfs-1981-955	Kreditupplysningsförordning (1981:955)
1981:956	1981-10-01	sfs-1981-956	Inkassoförordning (1981:956)
1981:96	1981-01-22	sfs-1981-96	Förordning (1981:96) om godkännande och utbyte av utländska körkort
1981:967	1981-10-22	sfs-1981-967	Förordning (1981:967) om skyldighet för domstol och Kronofogdemyndigheten att lämna underrättelser om vissa beslut av exekutiv betydelse
1981:971	1981-10-22	sfs-1981-971	Tillkännagivande (1981:971) av uppgift om Riksbankens diskonto
1981:972	1981-10-22	sfs-1981-972	Fastbränsleförordning (1981:972)
1981:977	1981-10-22	sfs-1981-977	Förordning (1981:977) om information genom dagspressannonsering
1981:978	1981-10-22	sfs-1981-978	Förordning (1981:978) om rikets indelning i militär- och civilområden m.m.;
1981:981	1981-10-22	sfs-1981-981	Utsökningsförordning (1981:981)
1981:991	1981-11-05	sfs-1981-991	Förordning (1981:991) om statsbidrag för redovisningsåret 1980/81 till avgifter till försäkring för tilläggspension för särskollärare m.fl.
1981:994	1981-11-05	sfs-1981-994	Förordning (1981:994) med tabeller för uträkning av arvsskatt och gåvoskatt
1981:997	1982-11-12	sfs-1981-997	Förordning (1981:997) med instruktion för teleanslutningsnämnden
1982:1004	1982-11-25	sfs-1982-1004	Lag (1982:1004) om skyldighet för näringsidkare, arbetsmarknadsorganisationer m.fl. att delta i totalförsvarsplaneringen
1982:1005	1982-11-25	sfs-1982-1005	Förordning (1982:1005) om skyldighet för näringsidkare, arbetsmarknadsorganisationer m.fl. att delta i totalförsvarsplaneringen
1982:1006	1982-11-25	sfs-1982-1006	Lag (1982:1006) om avdrags- och uppgiftsskyldighet beträffande vissa uppdragsersättningar
1982:1011	1982-12-02	sfs-1982-1011	Lotterilag (1982:1011)
1982:1012	1982-12-02	sfs-1982-1012	Lotteriförordning (1982:1012)
1982:1013	1982-12-02	sfs-1982-1013	Förordning (1982:1013) med instruktion för lotterinämnden
1982:1040	1982-12-02	sfs-1982-1040	Förordning (1982:1040) om vissa arbetstagare vid akademiska sjukhuset i Uppsala
1982:1048	1982-12-02	sfs-1982-1048	Förordning (1982:1048). med instruktion för näringsfrihetsombudsmannen
1982:1052	1982-12-09	sfs-1982-1052	Lag (1982:1052) om församlingar och kyrkliga samfälligheter
1982:1062	1982-12-02	sfs-1982-1062	Förordning (1982:1062) om förbud mot utförsel av krigsmateriel, m. m.
1982:1065	1982-12-02	sfs-1982-1065	Förordning (1982:1065) om vad som avses med krigsmateriel i lagen (1971:1078) om försvarsuppfinningar
1982:1069	1982-11-25	sfs-1982-1069	Förordning (1982:1069) om rymdverksamhet
1982:1070	1982-11-02	sfs-1982-1070	Lag (1982:1070) om skatteutjämning i Stockholms läns landstingskommun
1982:1077	1982-11-25	sfs-1982-1077	Förordning (1982:1077) om ersättning av allmänna medel för skador orsakade av studerande vid statliga högskoleenheter under praktik på icke-statliga arbetsplatser
1982:1080	1982-12-09	sfs-1982-1080	Hälsoskyddslag (1982:1080)
1982:11	1982-01-08	sfs-1982-11	Förordning (1982:11) om uppfinnarkonto
1982:113	1982-03-08	sfs-1982-113	Förordning (1982:113) om tjänstemannaanställning för arbetstagare i statligt reglerade anställningar
1982:1136	1982-12-16	sfs-1982-1136	Namnförordning (1982:1136)
1982:1158	1982-12-16	sfs-1982-1158	Lag (1982:1158) om riksgäldskontoret
1982:116	1982-03-04	sfs-1982-116	Förordning(1982:116) om underrättelse till Socialstyrelsen om beslut att avskeda legitimerad yrkesutövare
1982:1161	1982-12-16	sfs-1982-1161	Lag (1982:1161) om vissa äldre sedlar
1982:1164	1982-12-16	sfs-1982-1164	Förordning (1982:1164) om vissa arbetstagare vid de statliga ungdomsvårdsskolorna och nykterhetsvårdsanstalterna
1982:117	1982-03-04	sfs-1982-117	Förordning (1982:117) om underrättelse till Inspektionen för vård och omsorg och Socialstyrelsen om domar i vissa brottmål
1982:1173	1982-12-16	sfs-1982-1173	Förordning (1982:1173) med bemyndigande för kommuner och länsstyrelser att meddela lokala ordningsföreskrifter
1982:1177	1982-12-16	sfs-1982-1177	Departementsförordning (1982:1177)
1982:1178	1982-12-09	sfs-1982-1178	Förordning (1982:1178) om försäkringsbolags, utländska försäkringsföretags och understödsföreningars bidrag för att täcka kostnaderna för försäkringsinspektionens organisation och verksamhet
1982:1185	1982-12-17	sfs-1982-1185	Lag (1982:1185) om inbetalning på särskilt investeringskonto
1982:1193	1982-12-17	sfs-1982-1193	Lag (1982:1193) om skattereduktion för fackföreningsavgift
1982:1200	1982-12-17	sfs-1982-1200	Lag (1982:1200) om skatt på videobandspelare;
1982:1201	1982-12-17	sfs-1982-1201	Lag (1982:1201) om skatt på viss elektrisk kraft
1982:1227	1982-12-16	sfs-1982-1227	Förordning (1982:1227) om dubbelbeskattningsavtal mellan Sverige och Sovjetunionen
1982:1239	1982-12-17	sfs-1982-1239	Förordning (1982:1239)om skyldighet för riksförsäkringsverket att göra åtalsanmälan vid misstanke om vissa brottsliga förfaranden
1982:1249	1982-12-17	sfs-1982-1249	Närradioförordning (1982:1249)
1982:1255	1982-12-16	sfs-1982-1255	Lag (1982:1255) om författningssamlingar för Riksdagsförvaltningen, Riksbanken och Riksrevisionen
1982:126	1982-02-24	sfs-1982-126	Fiskeriförordning (1982:126)
1982:127	1982-02-24	sfs-1982-127	Förordning (1982:127) om internationell fiskekontroll
1982:1273	1982-12-22	sfs-1982-1273	Förordning (1982:1273) om statsbidrag till energibesparande åtgärder i bostadshus m. m.
1982:1278	1982-12-09	sfs-1982-1278	Förordning (1982:1278) med instruktion för nämnden för vapenfriutbildning
1982:1281	1982-12-16	sfs-1982-1281	Statistiska centralbyråns kungörelse (1982:1281) om procenttal för ändring av vissa underhållsbidrag;
1982:1282	1982-12-22	sfs-1982-1282	Förordning (1982:1282) med instruktion för Utrikesdepartementet
1982:1283	1982-12-22	sfs-1982-1283	Förordning (1982:1283) om avvecklingsersättning till vissa mjölkproducenter
1982:1284	1982-12-15	sfs-1982-1284	Försäkringsinspektionens Kungörelse (1982:1284) om ändring av vissa skadelivräntor
1982:1285	1982-12-22	sfs-1982-1285	Förordning (1982:1285) om statsbidrag till hyresrabatter i bostadshus
1982:1286	1982-12-22	sfs-1982-1286	Förordning (1982:1286) om statlig hyresförlustgaranti
1982:1288	1982-12-22	sfs-1982-1288	Förordning (1982:1288) med instruktion för forskningsdelegationen vid arbetarskyddsstyrelsen
1982:129	1982-03-04	sfs-1982-129	Lag (1982:129) om flyttning av fordon i vissa fall
1982:136	1982-04-11	sfs-1982-136	Förordning (1982:136) om handläggning av vissa personalfrågor i statlig verksamhet utmed rikets kuster
1982:156	1982-03-18	sfs-1982-156	Tillkännagivande (1982:156) av uppgift om Riksbankens diskonto
1982:170	1982-03-18	sfs-1982-170	Förordning (1982:170) om anpassning av statsbidrag till daghem m.m. med hänsyn till löneutvecklingen för anställda i offentlig tjänst vid slutavräkning för år 1981 m.m.
1982:188	1982-04-01	sfs-1982-188	Lag (1982:188) om preskription av skattefordringar m.m.
1982:198	1982-04-01	sfs-1982-198	Förordning (1982:198) om flyttning av fordon i vissa fall
1982:2	1982-01-08	sfs-1982-2	Lag (1982:2) om uppfinnarkonto
1982:200	1982-04-01	sfs-1982-200	Förordning (1982:200) med instruktion för statens institut för byggnadsforskning;
1982:208	1982-04-15	sfs-1982-208	Förordning (1982:208) om avgiftsbeläggning av statliga biluppställningsplatser m.m.
1982:219	1982-04-22	sfs-1982-219	Förordning (1982:219) om allmänna värmesystem
1982:221	1982-04-22	sfs-1982-221	Lag (1982:221) med särskilda bestämmelser angående det kommunala skatteunderlaget;
1982:24	1982-01-08	sfs-1982-24	Förordning (1982:24) om anstånd med att lämna deklaration för mervärdeskatt
1982:249	1982-05-06	sfs-1982-249	Förordning (1982:249) om tillämpning av en konvention den 4 januari 1980 mellan Sverige och Marocko om social trygghet;
1982:250	1982-05-06	sfs-1982-250	Förordning (1982:250) med instruktion för besvärsnämnden för högskoleutbildning
1982:264	1982-04-22	sfs-1982-264	Förordning (1982:264) om statsbidrag till energibesparande åtgärder i byggnader m.m. som tillhör vissa organisationer och stiftelser
1982:268	1982-04-29	sfs-1982-268	Lag (1982:268) om Sveriges riksvapen
1982:269	1982-04-29	sfs-1982-269	Lag (1982:269) om Sveriges flagga
1982:270	1982-04-29	sfs-1982-270	Förordning (1982:270) om allmänna flaggdagar
1982:29	1982-01-14	sfs-1982-29	Förordning (1982:29) om avgifter för konsulärt bistånd
1982:290	1982-05-06	sfs-1982-290	Förordning (1982:290) om ersättning för uppdrag och andra tjänster som utförs av statens miljömedicinska laboratorium
1982:306	1982-05-19	sfs-1982-306	Förordning (1982:306) om utlämning för brott
1982:314	1982-05-13	sfs-1982-314	Förordning (1982:314) om utnyttjande av kustbevakningen inom försvarsmakten
1982:315	1982-05-13	sfs-1982-315	Lag (1982:315) om styrelserepresentation för samhället i vissa stiftelser
1982:316	1982-05-27	sfs-1982-316	Lag (1982:316) om förbud mot könsstympning av kvinnor och oskuldsingrepp på kvinnor
1982:321	1982-05-27	sfs-1982-321	Förordning (1982:321) om tullfrihet eller tullnedsättning för vissa fruktsafter
1982:327	1982-05-19	sfs-1982-327	Förordning (1982:327) om notarius publicus
1982:336	1982-06-03	sfs-1982-336	Lag (1982:336) om avdrag för utdelning på icke börsnoterade aktier
1982:349	1982-05-27	sfs-1982-349	Lag (1982:349) om återvinning av dryckesförpackningar av aluminium
1982:352	1982-06-03	sfs-1982-352	Lag (1982:352) om rätt till fastighetsförvärv för ombildning till bostadsrätt eller kooperativ hyresrätt
1982:366	1982-06-03	sfs-1982-366	Förordning (1982:366) om utbetalning av dagersättningar från Försäkringskassan
1982:375	1982-06-03	sfs-1982-375	Förordning (1982:375) med provisoriska bestämmelser om skolkantorer
1982:377	1982-06-03	sfs-1982-377	Lag (1982:377) om tillfällig upplåtelse av kyrka
1982:382	1982-06-03	sfs-1982-382	Förordning (1982:382) om rätt för riksarkivet och landsarkiven att avgiftsbelägga viss forskarservice
1982:39	1982-01-28	sfs-1982-39	Förordning (1982:39) om resurstimmar i gymnasieskolan
1982:390	1982-06-03	sfs-1982-390	Förordning (1982:390) om statsbidrag till kommunal högskoleutbildning inom vårdområdet
1982:391	1982-06-03	sfs-1982-391	Förordning (1982:391) om statsbidrag till studie- och yrkesorientering inom viss kommunal högskoleutbildning
1982:393	1982-07-03	sfs-1982-393	Förordning (1982:393) om vissa statliga insatser beträffande läromedel
1982:395	1982-06-03	sfs-1982-395	Lag (1982:395) om Kustbevakningens medverkan vid polisiär övervakning
1982:417	1982-06-10	sfs-1982-417	Lag (1982:417) om ikraftträdande av lagen (1982:416) om ändring i lagen (1947:576) om statlig inkomstskatt
1982:423	1982-06-10	sfs-1982-423	Lag (1982:423) om allmän löneavgift
1982:427	1982-06-03	sfs-1982-427	Förordning (1982:427) om undantag från markvillkoret för bostadslån i vissa fall
1982:434	1982-06-10	sfs-1982-434	Förordning (1982:434) om statsbidrag till erkända arbetslöshetskassor
1982:442	1982-06-10	sfs-1982-442	Förordning (1982:442) med instruktion för statens giftinformationscentral
1982:459	1982-06-10	sfs-1982-459	Närradiolag (1982:459)
1982:46	1982-01-12	sfs-1982-46	Statistiska centralbyråns kungörelse (1982:46) om procenttal för ändring av vissa underhållsbidrag;
1982:460	1982-06-10	sfs-1982-460	Lag (1982:460) om ansvarighet för närradio
1982:480	1982-06-10	sfs-1982-480	Dataförordning (1982:480)
1982:481	1982-06-10	sfs-1982-481	Förordning (1982:481) om avgifter för Datainspektionens verksamhet
1982:49	1982-02-04	sfs-1982-49	Förordning (1982:49) om statliga myndigheters medelsredovisning m.m. vid försäljning av anläggningstillgångar
1982:490	1982-06-10	sfs-1982-490	Förordning (1982:490) om extra undervisning i svenska för vissa elever i gymnasieskolan
1982:492	1982-06-10	sfs-1982-492	Förordning (1982:492) om statsbidrag till studie- och yrkesorientering i gymnasieskolan budgetåret 1982/83
1982:493	1982-06-10	sfs-1982-493	Förordning (1982:493) om statsbidrag till hörselteknisk utrustning för kommunal högskoleutbildning
1982:50	1982-02-04	sfs-1982-50	Förordning (1982:50) om reglering av kapitalförluster i statlig verksamhet
1982:502	1982-06-10	sfs-1982-502	Förordning (1982:502) om statsbidrag till konsthantverkskooperativ
1982:505	1982-06-10	sfs-1982-505	Förordning (1982:505) om statsbidrag för framställning och utgivning av fonogram
1982:506	1982-06-10	sfs-1982-506	Förordning (1982:506) om statsbidrag för produktion av film och videogram inom muséerna
1982:513	1982-06-10	sfs-1982-513	Lag (1982:513) om förbud mot utförsel av krigsmateriel, m. m.
1982:517	1982-06-10	sfs-1982-517	Förordning (1982:517) om beredskapsersättning, beredskapslån och beredskapsgaranti
1982:518	1982-06-10	sfs-1982-518	Förordning (1982:518) med instruktion för byggnadsstyrelsen
1982:521	1982-06-17	sfs-1982-521	Lag (1982:521) om ansvarighet för radio- och kassettidningar
1982:548	1982-06-17	sfs-1982-548	Elförordning (1982:548)
1982:551	1982-06-17	sfs-1982-551	Förordning (1982:551) om särskilda skyddsåtgärder för vissa kraftanläggningar m.m.
1982:553	1982-10-17	sfs-1982-553	Förordning (1982:553) med instruktion för statens veterinärmedicinska anstalt
1982:56	1982-02-11	sfs-1982-56	Förordning (1982:56) om förande av fastighetsregister och inskrivningsregister med hjälp av automatisk databehandling
1982:569	1982-06-17	sfs-1982-569	Förordning (1982:569) om lotsning m.m.
1982:57	1982-02-11	sfs-1982-57	Förordning (1982:57) om vissa inskrivningsmyndigheters område
1982:579	1982-06-17	sfs-1982-579	Förordning (1982:579) med instruktion för nämnden för statens gruvegendom
1982:58	1982-02-04	sfs-1982-58	Förordning (1982:58) om förfarandet vid utlämning för brott till Danmark, Finland, Island och Norge
1982:586	1982-12-09	sfs-1982-586	Förordning (1982:586) med instruktion för Sveriges geologiska undersökning
1982:587	1982-06-10	sfs-1982-587	Förordning (1982:587) med instruktion för energiforskningsnämnden
1982:60	1982-02-11	sfs-1982-60	Lag (1982:60) om beräkning av avdrag på grund av avyttring av skog i vissa fall
1982:600	1982-06-17	sfs-1982-600	Förordning (1982:600) om Sveriges bildkonstnärsfond
1982:608	1982-05-19	sfs-1982-608	Förordning (1982:608) om statsbidrag till lokal skolutveckling m. m.
1982:617	1982-06-17	sfs-1982-617	Lag (1982:617) om utländska förvärv av svenska företag m.m.
1982:618	1982-06-17	sfs-1982-618	Lag (1982:618) om utländska förvärv av fast egendom m.m.
1982:619	1982-06-17	sfs-1982-619	Lag (1982:619) om införande av lagen (1982:617) om utländska förvärv av svenska företag m.m. och lagen (1982:618) om utländska förvärv av fast egendom m.m.
1982:633	1982-06-17	sfs-1982-633	Förordning (1982:633) om kyrkoherdar för döva
1982:636	1982-06-17	sfs-1982-636	Lag (1982:636) om anordnande av visst automatspel
1982:639	1982-06-10	sfs-1982-639	Förordning (1982:639) om bostadsanpassningsbidrag
1982:642	1982-06-17	sfs-1982-642	Förordning (1982:642) om statsbidrg i vissa fall till ombyggnad av bostadshus
1982:644	1982-06-17	sfs-1982-644	Förordning (1982:644) om lån för byggnadstekniska åtgärder i bostadshus
1982:647	1982-06-17	sfs-1982-647	Förordning (1982:647) om skeppsmätning
1982:668	1982-06-17	sfs-1982-668	Förordning (1982:668) om statliga myndigheters inhämtande av uppgifter från näringsidkare och kommuner
1982:669	1982-06-17	sfs-1982-669	Förordning (1982:669) om stöd till radio- och kassettidningar
1982:670	1982-06-24	sfs-1982-670	Namnlag (1982:670)
1982:673	1982-06-24	sfs-1982-673	Arbetstidslag (1982:673)
1982:677	1982-06-17	sfs-1982-677	Förordning (1982:677) om regionalpolitiskt stöd
1982:680	1982-06-17	sfs-1982-680	Förordning (1982:680) om uppföljning av beviljat statligt stöd i vissa fall
1982:682	1982-06-17	sfs-1982-682	Förordning (1982:682) om statlig finansiering genom regional utvecklingsfond
1982:69	1982-01-18	sfs-1982-69	Tillkännagivande (1982:69) rörande internationella oljeskadefonden
1982:691	1982-06-24	sfs-1982-691	Lag (1982:691) om skatt på vissa kassettband;
1982:70	1982-02-04	sfs-1982-70	Förordning (1982:70) om dubbelbeskattningsavtal mellan Sverige och Jugoslavien
1982:702	1982-06-17	sfs-1982-702	Förordning (1982:702) om etableringsstöd till vissa jordbrukare, m.m.
1982:705	1982-06-24	sfs-1982-705	Förordning (1982:705) med instruktion för statens vattenfallsverk
1982:707	1982-06-30	sfs-1982-707	Lag (1982:707) om dubbelbeskattningsavtal mellan Sverige och Republiken Korea
1982:708	1982-06-30	sfs-1982-708	Lag (1982:708) om dubbelbeskattningsavtal mellan Sverige och Sovjetunionen
1982:709	1982-06-30	sfs-1982-709	Lag (1982:709) om dubbelbeskattningsavtal mellan Sverige och Ungern
1982:71	1982-02-04	sfs-1982-71	Förordning (1982:71) om kupongskatt för person med hemvist i Jugoslavien, m.m.
1982:713	1982-06-10	sfs-1982-713	Försäkringsrörelselag (1982:713)
1982:728	1982-06-10	sfs-1982-728	Lag (1982:728) om införande av försäkringsrörelselagen (1982:713)
1982:729	1982-06-17	sfs-1982-729	Konkurrenslag (1982:729)
1982:736	1982-06-30	sfs-1982-736	Lag (1982:736) om ursprungsmärkning av kläder
1982:74	1982-02-18	sfs-1982-74	Förordning (1982:74) om viss praktiktjänstgöring för blivande präster
1982:751	1982-07-08	sfs-1982-751	Förordning (1982:751) om statliga ungdomsplatser m.m.
1982:755	1982-06-17	sfs-1982-755	Förordning (1982:755) om utländska statsfartygs och statsluftfartygs tillträde till Sveriges territorium, m.m. (tillträdesförordning);
1982:756	1982-06-17	sfs-1982-756	Förordning (1982:756) om Försvarsmaktens ingripanden vid kränkningar av Sveriges territorium under fred och neutralitet, m.m. (IKFN-förordning)
1982:759	1982-06-30	sfs-1982-759	Förordning (1982:759) med instruktion för statens arbetsmiljönämnd
1982:760	1982-06-24	sfs-1982-760	Förordning (1982:760) om uppgiftsskyldighet för länsstyrelserna med anledning av ikraftträdandet av lagen (1982:339) om ändring i lagen (1941:416) om arvsskatt och gåvoskatt
1982:763	1982-06-30	sfs-1982-763	Hälso- och sjukvårdslag (1982:763)
1982:764	1982-06-30	sfs-1982-764	Lag (1982:764) om vissa anställningar som läkare vid upplåtna enheter, m.m.
1982:771	1982-06-30	sfs-1982-771	Förordning (1982:771) om behörighet till vissa tjänster inom hälso- och sjukvården och om tillsättning av sådana tjänster
1982:772	1982-06-30	sfs-1982-772	Förordning (1982:772) om skyldighet att anmäla vissa allvarliga skador m.m. i hälso- och sjukvården
1982:777	1982-06-30	sfs-1982-777	Förordning (1982:777) om rikets indelning i regioner för hälso- och sjukvård som berör flera landstingskommuner
1982:78	1982-02-18	sfs-1982-78	Förordning (1982:78) om tillämpning av en överenskommelse den 8 januari 1982 om tillämpning av konventionen den 12 december 1979 mellan Sverige och Frankrike om social trygghet
1982:784	1982-07-22	sfs-1982-784	Förordning (1982:784) om statligt rederistöd
1982:785	1982-07-22	sfs-1982-785	Förordning (1982:785) med instruktion för nämnden för rederistöd
1982:787	1982-07-22	sfs-1982-787	Förordning (1982:787) med instruktion för brottsförebyggande rådet
1982:789	1982-06-03	sfs-1982-789	Förordning (1982:789) om ersättning för polisbevakning och för anslutning av larmanläggningar till Polismyndigheten
1982:790	1982-06-24	sfs-1982-790	Försäkringsrörelseförordning (1982:790)
1982:798	1982-08-05	sfs-1982-798	Förordning (1982:798) om kompensation i vissa fall för kostnader på grund av kassettskatt
1982:80	1982-02-24	sfs-1982-80	Lag (1982:80) om anställningsskydd
1982:801	1982-08-12	sfs-1982-801	Förordning (1982:801) om tillämpning av ett avtal mellan Sverige, Danmark, Finland, Island och Norge om ömsesidigt bistånd i tullfrågor
1982:805	1982-08-26	sfs-1982-805	Förordning (1982:805) om ersättning av allmänna medel till vittnen, m.m.
1982:814	1982-08-26	sfs-1982-814	Förordning (1982:814) om ersättning till nämndemän och vissa andra uppdragstagare inom domstolsväsendet m.m.
1982:821	1982-08-26	sfs-1982-821	Lag (1982:821) om transport av farligt gods
1982:824	1982-09-02	sfs-1982-824	Förordning (1982:824) om regional ekonomisk sammanslutning som avses i förordningen (1971:963) om tullfrihet för varor från utvecklingsländerna
1982:840	1982-09-09	sfs-1982-840	Förordning (1982:840) om statsbidrag till kalkning av sjöar och vattendrag
1982:842	1982-09-09	sfs-1982-842	Förordning (1982:842) om vissa sjukförsäkringsersättningar för sjömän
1982:853	1982-09-09	sfs-1982-853	Förordning (1982:853) om statsbidrag till väg- och gatuhållning m. m.
1982:865	1982-09-16	sfs-1982-865	Förordning (1982:865) om statsbidrag till kvinnoorganisationernas centrala verksamhet
1982:877	1982-09-16	sfs-1982-877	Förordning (1982:877) om regionalt utvecklingsarbete
1982:878	1982-09-16	sfs-1982-878	Förordning (1982:878) om utländska förvärv av svenska företag m.m.
1982:879	1982-09-16	sfs-1982-879	Förordning (1982:879) om utländska förvärv av fast egendom m. m.
1982:887	1982-10-07	sfs-1982-887	Förordning (1982:887) om tillämpning av en konvention den 25 september 1979 mellan Sverige och Italien om social trygghet
1982:892	1982-10-21	sfs-1982-892	Förordning (1982:892) om behörigheter för sjöpersonal
1982:894	1982-12-07	sfs-1982-894	Förordning (1982:894) med bemyndigande för riksförsäkringsverket att fastställa procentsatsen för allmän löneavgift för sjömän
1982:897	1982-10-21	sfs-1982-897	Förordning (1982:897) om yrkesinriktad filialutbildning i gymnasieskolan
1982:901	1982-10-28	sfs-1982-901	Arbetstidsförordning (1982:901)
1982:909	1982-10-14	sfs-1982-909	Förordning (1982:909) om avtal mellan Sverige, Danmark, Finland, Island och Norge om handräckning i skatteärenden
1982:910	1982-10-28	sfs-1982-910	Förordning (1982:910) om ursprungsmärkning av kläder
1982:911	1982-11-04	sfs-1982-911	Förordning (1982:911) om tillämpning av en överenskommelse den 25 oktober 1982 om tillämpning av konventionen den 5 mars 1981 mellan Sverige, Danmark, Finland, Island och Norge om social trygghet m. m.
1982:914	1982-11-04	sfs-1982-914	Förordning (1982:914) om lotsavgifter
1982:923	1982-10-28	sfs-1982-923	Förordning (1982:923) om transport av farligt gods
1982:942	1982-11-11	sfs-1982-942	Lag (1982:942) om svenska kyrkan
1982:943	1982-11-11	sfs-1982-943	Lag (1982:943) om kyrkomötet
1982:948	1982-11-11	sfs-1982-948	Lag (1982:948) om beräkning i pengar av naturaavgifter som tidigare beräknats enligt markegång
1982:953	1982-10-28	sfs-1982-953	Tillkännagivande (1982:953) av länens indelning i kommuner
1982:963	1982-11-18	sfs-1982-963	Lag (1982:963) om rymdverksamhet
1982:976	1982-11-18	sfs-1982-976	Förordning (1982:976) om disciplinära åtgärder mot studerande i statlig och kommunal högskoleutbildning
1982:984	1982-11-11	sfs-1982-984	Förordning (1982:984) om dubbelbeskattningsavtal mellan Sverige och Republiken Korea
1982:985	1982-11-11	sfs-1982-985	Förordning (1982:985) om dubbelbeskattningsavtal mellan Sverige och Ungern
